BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,timestamp
BROOKLYN,11216.0,40.675957,-73.95273,"(40.675957, -73.95273)",,,22        ROGERS AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4418631,Sedan,Station Wagon/Sport Utility Vehicle,,,,1621325700
MANHATTAN,10027.0,40.807034,-73.94371,"(40.807034, -73.94371)",,,43        WEST 125 STREET               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Lane Marking Improper/Inadequate,,,,4330898,Taxi,Sedan,,,,1595429700
QUEENS,11420.0,40.675766,-73.81685,"(40.675766, -73.81685)",116 AVENUE                      ,ROCKAWAY BOULEVARD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4350679,Sedan,,,,,1600790280
BROOKLYN,11230.0,40.609417,-73.9677,"(40.609417, -73.9677)",OCEAN PARKWAY,AVENUE P,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4486855,Sedan,,,,,1639609320
BROOKLYN,11234.0,40.61146,-73.92437,"(40.61146, -73.92437)",FLATBUSH AVENUE                 ,AVENUE T,,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,,,,4288616,Sedan,Bus,,,,1581611400
BRONX,10455.0,40.81527,-73.904434,"(40.81527, -73.904434)",UNION AVENUE                    ,EAST 152 STREET,,0,0,0,0,0,0,0,0,Unspecified,,,,,4337114,Sedan,,,,,1597059000
BRONX,10465.0,40.828873,-73.83707,"(40.828873, -73.83707)",HUTCHINSON RIVER PARKWAY        ,BRUCKNER EXPRESSWAY,,0,0,0,0,0,0,0,0,Unspecified,,,,,4278144,Tractor Truck Diesel,,,,,1579837200
QUEENS,11691.0,,,,BEACH 38 STREET                 ,ROCKAWAY FWY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4276452,Sedan,Sedan,,,,1578954240
BROOKLYN,11211.0,40.714046,-73.947685,"(40.714046, -73.947685)",,,290       LEONARD STREET                ,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4389061,Sedan,Box Truck,,,,1612363200
QUEENS,11367.0,40.727264,-73.81458,"(40.727264, -73.81458)",153 STREET                      ,72 DRIVE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4308928,Sedan,Station Wagon/Sport Utility Vehicle,,,,1586878200
QUEENS,11377.0,40.757847,-73.89922,"(40.757847, -73.89922)",31 AVENUE                       ,68 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4308097,Station Wagon/Sport Utility Vehicle,Sedan,,,,1586217600
BROOKLYN,11216.0,40.6902,-73.94527,"(40.6902, -73.94527)",,,249       TOMPKINS AVENUE               ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4317844,Taxi,,,,,1591291500
QUEENS,11369.0,40.76919,-73.8761,"(40.76919, -73.8761)",,,94-00     DITMARS BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,,,,,4480321,Sedan,,,,,1637350500
BROOKLYN,11214.0,40.608143,-74.00412,"(40.608143, -74.00412)",86 STREET,BAY 16 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4422985,Station Wagon/Sport Utility Vehicle,Bus,,,,1622570400
BROOKLYN,11207.0,40.68366,-73.90788,"(40.68366, -73.90788)",BUSHWICK AVENUE                 ,PILLING STREET,,1,0,0,0,0,0,1,0,Turning Improperly,Unsafe Speed,,,,4313376,Station Wagon/Sport Utility Vehicle,Sedan,,,,1589388180
BROOKLYN,11233.0,40.669918,-73.91889,"(40.669918, -73.91889)",EASTERN PARKWAY                 ,SAINT JOHNS PLACE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4403270,Sedan,,,,,1616973060
